Time,Keras,PyTorch,TensorFlow
2015-02,8,0,0
2015-03,9,0,0
2015-04,9,0,0
2015-05,8,0,0
2015-06,8,0,0
2015-07,7,0,0
2015-08,9,0,0
2015-09,9,0,0
2015-10,9,0,0
2015-11,9,0,18
2015-12,10,0,6
2016-01,11,0,6
2016-02,11,0,7
2016-03,12,0,8
2016-04,13,0,10
2016-05,14,0,14
2016-06,14,0,17
2016-07,14,0,16
2016-08,15,0,14
2016-09,16,0,18
2016-10,18,1,21
2016-11,10,0,26
2016-12,10,0,27
2017-01,11,0,31
2017-02,15,0,46
2017-03,18,0,52
2017-04,19,0,53
2017-05,19,0,55
2017-06,22,0,55
2017-07,21,0,56
2017-08,20,0,53
2017-09,20,0,56
2017-10,22,0,60
2017-11,25,2,65
2017-12,26,8,62
2018-01,26,12,60
2018-02,29,13,62
2018-03,33,15,70
2018-04,32,16,71
2018-05,30,19,74
2018-06,31,17,67
2018-07,32,18,67
2018-08,31,19,65
2018-09,31,19,60
2018-10,34,25,65
2018-11,36,25,67
2018-12,32,24,56
2019-01,29,23,59
2019-02,34,25,61
2019-03,36,30,69
2019-04,38,32,66
2019-05,37,30,63
2019-06,38,30,60
2019-07,41,32,64
2019-08,34,31,55
2019-09,34,30,57
2019-10,36,34,62
2019-11,37,37,61
2019-12,34,31,53
2020-01,31,31,51
2020-02,34,36,55
2020-03,33,35,52
2020-04,36,37,57
2020-05,36,40,56
2020-06,36,41,57
2020-07,34,44,58
2020-08,29,38,52
2020-09,28,40,50
2020-10,23,32,41
2020-11,23,34,40
2020-12,22,31,38
2021-01,20,30,36
2021-02,19,29,35
2021-03,23,35,40
2021-04,22,38,38
2021-05,22,36,37
2021-06,21,36,38
2021-07,20,35,36
2021-08,18,32,32
2021-09,18,34,34
2021-10,19,38,34
2021-11,22,41,38
2021-12,20,39,36
2022-01,25,45,44
2022-02,29,56,54
2022-03,34,65,67
2022-04,36,68,65
2022-05,33,61,62
2022-06,29,57,59
2022-07,25,54,52
2022-08,22,53,49
2022-09,23,52,51
2022-10,23,56,51
2022-11,27,58,53
2022-12,25,54,49
2023-01,23,54,48
2023-02,23,64,55
2023-03,25,71,57
2023-04,23,69,51
2023-05,22,62,53
2023-06,20,63,48
2023-07,19,79,45
2023-08,18,84,44
2023-09,17,83,42
2023-10,17,89,44
2023-11,19,93,44
2023-12,18,79,40
2024-01,17,82,41
2024-02,19,89,45
2024-03,19,96,50
2024-04,22,100,48
2024-05,20,89,47
2024-06,17,79,41
2024-07,15,87,38
2024-08,13,77,33
2024-09,13,74,36
2024-10,13,81,35
2024-11,14,83,36
2024-12,13,73,33
2025-01,11,75,35
2025-02,11,80,34
